date,year,open,high,low,close,daily_change,daily_change_percent,volume
1975-12-31,1975,160.86,160.86,160.86,160.86,0.0,0.0,0.0
1976-12-31,1976,124.74,124.74,124.74,124.74,0.0,0.0,0.0
1977-12-31,1977,147.84,147.84,147.84,147.84,0.0,0.0,0.0
1978-12-31,1978,193.4,193.4,193.4,193.4,0.0,0.0,0.0
1979-12-31,1979,459.0,459.0,459.0,459.0,0.0,0.0,0.0
1980-12-31,1980,594.9,594.9,594.9,594.9,0.0,0.0,0.0
1981-12-31,1981,400.0,400.0,400.0,400.0,0.0,0.0,0.0
1982-12-31,1982,447.0,447.0,447.0,447.0,0.0,0.0,0.0
1983-12-31,1983,380.0,380.0,380.0,380.0,0.0,0.0,0.0
1984-12-31,1984,308.0,308.0,308.0,308.0,0.0,0.0,0.0
1985-12-31,1985,327.0,327.0,327.0,327.0,0.0,0.0,0.0
1986-12-31,1986,390.9,390.9,390.9,390.9,0.0,0.0,0.0
1987-12-31,1987,486.5,486.5,486.5,486.5,0.0,0.0,0.0
1988-12-31,1988,410.15,410.15,410.15,410.15,0.0,0.0,0.0
1989-12-31,1989,401.0,401.0,401.0,401.0,0.0,0.0,0.0
1990-12-31,1990,386.2,386.2,386.2,386.2,0.0,0.0,0.0
1991-12-31,1991,353.15,353.15,353.15,353.15,0.0,0.0,0.0
1992-12-31,1992,333.0,333.0,333.0,333.0,0.0,0.0,0.0
1993-12-31,1993,391.75,391.75,391.75,391.75,0.0,0.0,0.0
1994-12-31,1994,383.25,383.25,383.25,383.25,0.0,0.0,0.0
1995-12-31,1995,387.0,387.0,387.0,387.0,0.0,0.0,0.0
1996-12-31,1996,369.0,369.0,369.0,369.0,0.0,0.0,0.0
1997-12-31,1997,287.05,287.05,287.05,287.05,0.0,0.0,0.0
1998-12-31,1998,288.7,288.7,288.7,288.7,0.0,0.0,0.0
1999-12-31,1999,290.25,290.25,290.25,290.25,0.0,0.0,0.0
2000-12-31,2000,272.65,272.65,272.65,272.65,0.0,0.0,0.0
2001-12-31,2001,276.5,276.5,276.5,276.5,0.0,0.0,0.0
2002-12-31,2002,342.75,342.75,342.75,342.75,0.0,0.0,0.0
2003-12-31,2003,417.25,417.25,417.25,417.25,0.0,0.0,0.0
2004-11-18,2004,444.3,444.9,440.7,443.8,-0.5,-0.11,5992000.0
2004-11-19,2004,444.9,449.2,444.7,447.8,2.9,0.65,8955300.0
2004-11-22,2004,447.5,449.7,447.4,449.5,2.0,0.45,11996000.0
2004-11-23,2004,448.8,449.2,447.2,447.5,-1.3,-0.29,3169100.0
2004-11-24,2004,449.3,450.5,447.9,450.5,1.2,0.27,6104900.0
2004-11-26,2004,452.5,456.0,450.6,452.9,0.4,0.09,3097700.0
2004-11-29,2004,451.0,455.0,450.8,454.0,3.0,0.67,3694000.0
2004-11-30,2004,453.7,454.1,448.2,451.2,-2.5,-0.55,3759100.0
2004-12-01,2004,452.8,455.9,452.6,453.8,1.0,0.22,2037500.0
2004-12-02,2004,455.5,455.7,446.8,449.5,-6.0,-1.32,6457800.0
2004-12-03,2004,450.4,460.0,448.0,456.0,5.6,1.24,4218300.0
2004-12-06,2004,453.9,454.7,451.1,451.7,-2.2,-0.48,3103000.0
2004-12-07,2004,453.0,453.2,450.7,451.1,-1.9,-0.42,3809400.0
2004-12-08,2004,438.0,440.2,433.6,440.1,2.1,0.48,5950500.0
2004-12-09,2004,437.5,439.0,432.0,437.8,0.3,0.07,3553400.0
2004-12-10,2004,433.7,436.0,433.1,434.4,0.7,0.16,2464300.0
2004-12-13,2004,436.1,440.14,435.1,439.1,3.0,0.69,1445100.0
2004-12-14,2004,437.6,438.0,435.1,435.5,-2.1,-0.48,2240600.0
2004-12-15,2004,441.0,441.7,439.2,439.9,-1.1,-0.25,2601400.0
2004-12-16,2004,439.9,440.5,435.8,436.8,-3.1,-0.7,3269800.0
2004-12-17,2004,439.3,442.2,437.8,441.9,2.6,0.59,1864700.0
2004-12-20,2004,443.3,443.7,441.3,443.4,0.1,0.02,1942100.0
2004-12-21,2004,441.3,442.4,440.5,442.2,0.9,0.2,1373400.0
2004-12-22,2004,442.0,442.3,438.9,440.2,-1.8,-0.41,2706800.0
2004-12-23,2004,441.7,443.5,440.5,442.7,1.0,0.23,639800.0
2004-12-27,2004,442.9,445.6,442.7,444.8,1.9,0.43,2643700.0
2004-12-28,2004,444.2,444.7,442.9,443.7,-0.5,-0.11,773200.0
2004-12-29,2004,439.2,440.2,433.5,436.6,-2.6,-0.59,5333500.0
2004-12-30,2004,435.0,438.8,434.9,438.3,3.3,0.76,1289700.0
2004-12-31,2004,435.6,435.6,435.6,435.6,0.0,0.0,0.0
2005-01-03,2005,429.8,431.7,427.4,430.2,0.4,0.09,4488900.0
2005-01-04,2005,428.0,429.1,424.6,427.4,-0.6,-0.14,3456800.0
2005-01-05,2005,427.5,428.8,426.0,426.7,-0.8,-0.19,2108700.0
2005-01-06,2005,424.8,425.6,420.7,421.5,-3.3,-0.78,2548100.0
2005-01-07,2005,420.9,423.9,417.0,418.4,-2.5,-0.59,4492700.0
2005-01-10,2005,419.9,420.7,418.9,419.5,-0.4,-0.1,1026100.0
2005-01-11,2005,422.1,422.8,421.2,422.1,0.0,0.0,1507300.0
2005-01-12,2005,425.2,427.9,424.8,426.0,0.8,0.19,1738000.0
2005-01-13,2005,423.9,426.0,423.4,426.0,2.1,0.5,718300.0
2005-01-14,2005,421.9,423.2,421.3,423.2,1.3,0.31,1262300.0
2005-01-18,2005,422.2,423.8,421.5,423.2,1.0,0.24,666800.0
2005-01-19,2005,426.5,426.5,422.0,422.6,-3.9,-0.91,1578900.0
2005-01-20,2005,421.2,423.2,421.1,422.5,1.3,0.31,1276200.0
2005-01-21,2005,423.2,428.2,422.9,427.4,4.2,0.99,889800.0
2005-01-24,2005,427.4,428.2,426.7,427.7,0.3,0.07,2294900.0
2005-01-25,2005,425.3,425.6,421.0,422.4,-2.9,-0.68,1232500.0
2005-01-26,2005,425.9,427.8,425.6,426.9,1.0,0.23,541800.0
2005-01-27,2005,424.8,426.5,424.0,426.2,1.4,0.33,571200.0
2005-01-28,2005,427.1,427.3,424.3,426.9,-0.2,-0.05,1149100.0
2005-01-31,2005,422.1,423.0,419.6,422.2,0.1,0.02,1692400.0
2005-02-01,2005,420.9,421.4,419.5,421.0,0.1,0.02,1088900.0
2005-02-02,2005,422.2,422.3,420.2,421.6,-0.6,-0.14,956500.0
2005-02-03,2005,415.6,417.4,415.0,416.8,1.2,0.29,2446200.0
2005-02-04,2005,415.9,416.5,413.9,414.7,-1.2,-0.29,1799400.0
2005-02-07,2005,415.5,415.5,412.1,412.7,-2.8,-0.67,1704000.0
2005-02-08,2005,411.9,414.0,410.5,412.6,0.7,0.17,1296800.0
2005-02-09,2005,410.3,413.6,410.2,413.1,2.8,0.68,3356900.0
2005-02-10,2005,415.3,418.4,414.5,417.5,2.2,0.53,6774500.0
2005-02-11,2005,418.9,421.6,418.3,420.8,1.9,0.45,1896500.0
2005-02-14,2005,423.7,426.3,423.2,425.5,1.8,0.42,2351800.0
2005-02-15,2005,424.0,426.0,423.4,425.8,1.8,0.42,1559900.0
2005-02-16,2005,423.2,426.0,422.0,425.2,2.0,0.47,1820300.0
2005-02-17,2005,425.2,428.1,425.1,427.3,2.1,0.49,3054200.0
2005-02-18,2005,427.1,428.2,426.4,427.5,0.4,0.09,863200.0
2005-02-22,2005,433.9,436.3,432.0,435.7,1.8,0.41,3378500.0
2005-02-23,2005,432.9,435.5,431.5,434.2,1.3,0.3,1534900.0
2005-02-24,2005,434.8,434.8,432.0,433.3,-1.5,-0.34,1219300.0
2005-02-25,2005,434.1,435.5,432.2,435.0,0.9,0.21,1100100.0
2005-02-28,2005,436.8,437.4,435.2,435.2,-1.6,-0.37,759100.0
